defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost
42,49,Functional,5/18/24,Surface,Critical,Automated Testing,144.38
43,72,Cosmetic,3/23/24,Surface,Moderate,Visual Inspection,534.33
44,24,Structural,5/18/24,Surface,Minor,Visual Inspection,456.8
45,64,Functional,5/27/24,Surface,Minor,Automated Testing,215.01
46,36,Structural,4/24/24,Surface,Moderate,Manual Testing,824.3
47,79,Structural,2/14/24,Component,Critical,Manual Testing,769.28
48,36,Structural,1/3/24,Component,Moderate,Manual Testing,160.25
49,65,Functional,2/24/24,Component,Minor,Automated Testing,386.17
50,9,Functional,1/6/24,Component,Moderate,Manual Testing,572.08
51,10,Structural,6/26/24,Internal,Minor,Visual Inspection,433.85
52,7,Structural,5/19/24,Surface,Minor,Manual Testing,338.1
53,81,Functional,1/3/24,Surface,Critical,Automated Testing,93.13
54,62,Cosmetic,5/14/24,Component,Moderate,Visual Inspection,308.37
55,29,Structural,3/23/24,Internal,Critical,Automated Testing,396.58
56,73,Structural,1/19/24,Surface,Minor,Automated Testing,957.6
57,86,Structural,3/6/24,Internal,Moderate,Automated Testing,205.19
58,5,Cosmetic,5/25/24,Component,Critical,Manual Testing,300.27
59,79,Structural,3/10/24,Internal,Critical,Automated Testing,671.22
60,87,Functional,2/18/24,Surface,Minor,Visual Inspection,395.1
61,60,Structural,6/11/24,Component,Critical,Visual Inspection,675.89
62,43,Cosmetic,3/8/24,Component,Moderate,Visual Inspection,523.02
63,52,Structural,1/2/24,Surface,Critical,Manual Testing,337.5
64,2,Cosmetic,1/11/24,Surface,Minor,Automated Testing,830.89
65,22,Functional,4/16/24,Component,Critical,Visual Inspection,84.97
66,31,Functional,5/24/24,Internal,Minor,Visual Inspection,771.96
67,87,Functional,3/15/24,Internal,Minor,Automated Testing,46.43
68,11,Cosmetic,4/16/24,Internal,Minor,Automated Testing,31.91
69,33,Cosmetic,5/19/24,Component,Moderate,Automated Testing,845.8
70,17,Functional,2/19/24,Component,Minor,Manual Testing,729.55
71,71,Cosmetic,3/5/24,Surface,Moderate,Automated Testing,187.03
72,35,Structural,6/29/24,Component,Moderate,Automated Testing,470.35
73,15,Functional,5/20/24,Internal,Minor,Visual Inspection,662.35
74,43,Functional,4/4/24,Component,Critical,Visual Inspection,509.97
75,2,Functional,1/3/24,Component,Critical,Manual Testing,352.33
76,36,Functional,3/27/24,Surface,Minor,Manual Testing,228.22
77,64,Functional,2/6/24,Component,Critical,Manual Testing,632.45
78,28,Functional,6/20/24,Component,Critical,Automated Testing,975.87
79,69,Structural,3/23/24,Internal,Moderate,Visual Inspection,967.14
80,75,Structural,1/11/24,Surface,Moderate,Automated Testing,992.69
81,69,Functional,3/14/24,Surface,Minor,Manual Testing,827.74
82,74,Structural,4/2/24,Component,Critical,Automated Testing,270.97
83,69,Structural,4/11/24,Surface,Critical,Visual Inspection,712.98
84,11,Structural,6/24/24,Component,Critical,Manual Testing,556.05
85,92,Structural,4/27/24,Component,Minor,Manual Testing,200.11
86,70,Structural,1/14/24,Component,Moderate,Automated Testing,660.05
87,22,Structural,1/21/24,Component,Moderate,Manual Testing,220.96
88,9,Functional,2/9/24,Component,Critical,Visual Inspection,776.54
89,6,Functional,5/1/24,Surface,Moderate,Visual Inspection,920.26
90,58,Structural,2/17/24,Internal,Moderate,Visual Inspection,492.22
91,98,Cosmetic,3/7/24,Surface,Critical,Manual Testing,513.45
92,93,Functional,6/30/24,Component,Moderate,Automated Testing,286.28
93,10,Functional,4/1/24,Surface,Minor,Automated Testing,698.89
94,72,Cosmetic,2/2/24,Internal,Critical,Visual Inspection,555.25
95,36,Cosmetic,5/16/24,Component,Moderate,Manual Testing,465.92
96,11,Structural,3/8/24,Component,Critical,Manual Testing,732.13
97,56,Structural,3/15/24,Component,Moderate,Automated Testing,582.46
98,67,Cosmetic,3/10/24,Component,Moderate,Visual Inspection,647.7
99,67,Structural,4/8/24,Component,Critical,Visual Inspection,536.57
100,8,Functional,4/24/24,Surface,Minor,Visual Inspection,673.85
101,27,Structural,1/25/24,Internal,Minor,Manual Testing,871.1
102,79,Structural,6/25/24,Internal,Critical,Visual Inspection,973.66
103,87,Functional,5/31/24,Internal,Critical,Visual Inspection,787.42
104,1,Structural,6/25/24,Surface,Minor,Manual Testing,338.48
105,49,Structural,4/30/24,Component,Critical,Visual Inspection,922.07
106,9,Functional,5/14/24,Surface,Moderate,Manual Testing,137.41
107,63,Structural,6/28/24,Surface,Critical,Automated Testing,17.89
108,97,Cosmetic,1/26/24,Surface,Moderate,Manual Testing,210.3
109,1,Cosmetic,2/22/24,Component,Critical,Automated Testing,978.5
110,44,Functional,3/5/24,Surface,Minor,Visual Inspection,381.15
111,27,Structural,5/6/24,Component,Moderate,Manual Testing,302.42
112,9,Cosmetic,1/12/24,Component,Minor,Automated Testing,813.46
113,67,Cosmetic,4/8/24,Surface,Minor,Automated Testing,998.27
114,83,Functional,1/25/24,Component,Critical,Manual Testing,498.47
115,66,Functional,4/30/24,Internal,Moderate,Visual Inspection,362.23
116,36,Cosmetic,1/9/24,Internal,Critical,Visual Inspection,194.79
117,64,Cosmetic,1/11/24,Surface,Moderate,Visual Inspection,677.65
118,66,Structural,4/10/24,Surface,Critical,Manual Testing,310.8
119,99,Structural,3/5/24,Surface,Minor,Visual Inspection,717.21
120,80,Functional,3/8/24,Component,Critical,Manual Testing,641.58
121,86,Structural,6/9/24,Internal,Minor,Manual Testing,520.84
122,51,Structural,4/16/24,Surface,Critical,Manual Testing,271.18
123,79,Cosmetic,2/4/24,Internal,Minor,Manual Testing,657.81
124,100,Functional,3/27/24,Internal,Moderate,Manual Testing,620.66
125,86,Cosmetic,3/10/24,Surface,Critical,Visual Inspection,533.03
126,29,Structural,2/1/24,Surface,Minor,Visual Inspection,21.77
127,68,Cosmetic,5/19/24,Surface,Minor,Manual Testing,302.22
128,92,Cosmetic,3/2/24,Internal,Moderate,Automated Testing,895.38
129,14,Cosmetic,6/20/24,Surface,Critical,Visual Inspection,241.61
130,72,Cosmetic,4/6/24,Internal,Critical,Automated Testing,878.46
131,61,Functional,5/15/24,Internal,Critical,Visual Inspection,268.08
132,63,Structural,4/23/24,Surface,Critical,Visual Inspection,492.32
133,86,Structural,3/20/24,Surface,Moderate,Manual Testing,379.78
134,98,Cosmetic,2/3/24,Surface,Moderate,Visual Inspection,498.71
135,61,Cosmetic,2/15/24,Internal,Moderate,Automated Testing,379.01
136,67,Functional,2/21/24,Internal,Minor,Automated Testing,79.52
137,2,Functional,4/19/24,Internal,Critical,Automated Testing,602.25
138,11,Structural,3/5/24,Component,Critical,Automated Testing,575.71
139,58,Cosmetic,6/24/24,Surface,Critical,Visual Inspection,760.33
140,68,Functional,4/4/24,Internal,Critical,Manual Testing,955.54
141,28,Cosmetic,1/6/24,Internal,Minor,Visual Inspection,679.88
142,63,Structural,3/25/24,Internal,Critical,Visual Inspection,71.91
143,100,Functional,5/27/24,Internal,Moderate,Manual Testing,916.79
144,45,Cosmetic,6/18/24,Internal,Moderate,Manual Testing,558.34
145,25,Structural,1/16/24,Internal,Minor,Manual Testing,23.02
146,43,Cosmetic,4/26/24,Internal,Minor,Visual Inspection,346.23
147,45,Structural,4/5/24,Internal,Critical,Automated Testing,926.31
148,84,Cosmetic,1/29/24,Internal,Critical,Automated Testing,783.88
149,41,Cosmetic,1/25/24,Surface,Moderate,Automated Testing,747.18
150,53,Functional,3/22/24,Surface,Critical,Manual Testing,415.84
151,61,Structural,6/7/24,Component,Minor,Visual Inspection,502.15
152,97,Structural,1/27/24,Internal,Moderate,Manual Testing,94.7
153,63,Cosmetic,1/9/24,Surface,Minor,Manual Testing,426.04
154,75,Cosmetic,5/3/24,Surface,Moderate,Automated Testing,380.52
155,10,Structural,1/24/24,Component,Minor,Visual Inspection,935.64
156,56,Functional,5/21/24,Internal,Minor,Manual Testing,595.9
157,96,Functional,5/7/24,Surface,Minor,Manual Testing,788.22
158,96,Functional,1/16/24,Surface,Critical,Visual Inspection,465.74
159,77,Structural,5/19/24,Internal,Moderate,Automated Testing,661.8
160,91,Structural,5/17/24,Surface,Moderate,Manual Testing,532.77
161,56,Cosmetic,5/21/24,Component,Minor,Visual Inspection,612.03
162,56,Functional,2/9/24,Component,Moderate,Manual Testing,614.11
163,12,Cosmetic,1/30/24,Surface,Minor,Manual Testing,238.39
164,6,Structural,4/20/24,Internal,Minor,Visual Inspection,986.51
165,30,Cosmetic,5/6/24,Component,Critical,Automated Testing,796.76
166,34,Functional,2/15/24,Component,Minor,Visual Inspection,105.27
167,99,Cosmetic,1/27/24,Surface,Moderate,Automated Testing,950.97
168,14,Structural,6/29/24,Surface,Critical,Visual Inspection,517.41
169,70,Cosmetic,6/3/24,Surface,Critical,Manual Testing,789.62
170,4,Functional,5/16/24,Internal,Moderate,Visual Inspection,942.03
171,74,Cosmetic,4/26/24,Surface,Moderate,Manual Testing,352.05
172,25,Cosmetic,1/2/24,Component,Critical,Automated Testing,10.22
173,74,Cosmetic,3/29/24,Component,Moderate,Automated Testing,932.23
174,51,Functional,5/29/24,Surface,Critical,Automated Testing,715.22
175,6,Structural,2/19/24,Internal,Moderate,Manual Testing,999.64
176,13,Structural,3/9/24,Surface,Critical,Manual Testing,952.49
177,34,Structural,1/21/24,Internal,Minor,Manual Testing,174.76
178,51,Functional,1/17/24,Internal,Minor,Visual Inspection,755.15
179,44,Structural,4/23/24,Surface,Moderate,Automated Testing,532.6
180,64,Structural,1/7/24,Component,Minor,Manual Testing,854.25
181,91,Functional,2/29/24,Internal,Minor,Automated Testing,383.83
182,80,Functional,1/27/24,Internal,Moderate,Manual Testing,80
183,8,Structural,2/2/24,Component,Critical,Visual Inspection,970.31
184,14,Functional,2/9/24,Internal,Moderate,Visual Inspection,517.63
185,64,Structural,1/15/24,Surface,Moderate,Automated Testing,81.33
186,21,Structural,3/29/24,Component,Critical,Manual Testing,540.92
187,13,Cosmetic,4/27/24,Internal,Critical,Visual Inspection,280.77
188,56,Structural,6/2/24,Internal,Moderate,Automated Testing,87.28
189,95,Cosmetic,2/23/24,Surface,Minor,Manual Testing,306.56
190,4,Functional,6/22/24,Surface,Critical,Automated Testing,86.46
191,80,Cosmetic,1/12/24,Surface,Critical,Manual Testing,13.03
192,95,Functional,3/21/24,Component,Critical,Visual Inspection,525.07
193,28,Cosmetic,5/21/24,Component,Critical,Manual Testing,219.71
194,1,Structural,3/3/24,Component,Critical,Visual Inspection,192.21
195,17,Structural,2/18/24,Component,Moderate,Automated Testing,924.13
196,18,Structural,6/21/24,Component,Minor,Manual Testing,65.23
197,76,Cosmetic,5/28/24,Internal,Moderate,Automated Testing,481.7
198,28,Cosmetic,4/14/24,Surface,Minor,Manual Testing,561.27
199,75,Structural,1/30/24,Internal,Moderate,Visual Inspection,169.54
200,78,Cosmetic,4/4/24,Surface,Moderate,Visual Inspection,629.38
201,8,Cosmetic,1/4/24,Surface,Critical,Automated Testing,783.36
202,97,Structural,5/25/24,Surface,Moderate,Automated Testing,102.88
203,22,Structural,4/5/24,Component,Minor,Manual Testing,269.04
204,82,Functional,1/20/24,Surface,Moderate,Visual Inspection,257.33
205,17,Structural,5/28/24,Component,Critical,Automated Testing,824.37
206,59,Functional,5/29/24,Surface,Minor,Manual Testing,303.59
207,69,Functional,4/22/24,Internal,Critical,Automated Testing,793.3
208,22,Functional,1/31/24,Surface,Critical,Manual Testing,929.05
209,76,Functional,5/20/24,Internal,Moderate,Manual Testing,473.36
210,59,Functional,1/25/24,Surface,Minor,Automated Testing,478.17
211,61,Structural,3/12/24,Component,Critical,Manual Testing,430.49
212,69,Functional,5/7/24,Surface,Moderate,Automated Testing,460.93
213,75,Cosmetic,1/30/24,Internal,Moderate,Visual Inspection,917.3
214,42,Structural,1/2/24,Surface,Minor,Manual Testing,520.21
215,38,Functional,1/7/24,Internal,Critical,Manual Testing,575.58
216,5,Structural,1/13/24,Internal,Moderate,Visual Inspection,296.41
217,10,Cosmetic,5/28/24,Surface,Critical,Automated Testing,622.98
218,21,Functional,5/10/24,Internal,Critical,Visual Inspection,484.08
219,92,Cosmetic,4/26/24,Component,Critical,Manual Testing,479.31
220,29,Functional,4/5/24,Surface,Minor,Manual Testing,624.22
221,49,Functional,6/11/24,Component,Critical,Manual Testing,777.18
222,28,Functional,2/12/24,Component,Critical,Automated Testing,842.93
223,87,Cosmetic,1/26/24,Surface,Critical,Manual Testing,974.99
224,51,Functional,4/24/24,Component,Critical,Manual Testing,989.81
225,64,Structural,4/23/24,Component,Moderate,Visual Inspection,484.04
226,77,Cosmetic,6/4/24,Internal,Minor,Automated Testing,38.39
227,23,Functional,6/23/24,Surface,Minor,Visual Inspection,334.53
228,89,Functional,2/4/24,Component,Moderate,Manual Testing,580.74
229,30,Functional,3/24/24,Surface,Critical,Manual Testing,638.28
230,88,Structural,1/28/24,Component,Minor,Manual Testing,727.86
231,47,Structural,3/11/24,Internal,Moderate,Manual Testing,117.74
232,74,Functional,5/25/24,Component,Critical,Automated Testing,891.94
233,53,Structural,3/17/24,Surface,Minor,Visual Inspection,440.58
234,39,Structural,2/17/24,Internal,Minor,Automated Testing,310.96
235,4,Cosmetic,1/28/24,Internal,Critical,Manual Testing,430.74
236,29,Cosmetic,5/5/24,Surface,Minor,Automated Testing,47.99
237,31,Cosmetic,6/30/24,Component,Moderate,Visual Inspection,728.13
238,75,Structural,2/6/24,Component,Critical,Visual Inspection,890.35
239,88,Functional,3/12/24,Surface,Minor,Manual Testing,356.55
240,14,Structural,5/4/24,Internal,Moderate,Visual Inspection,271.51
241,80,Structural,3/19/24,Surface,Minor,Manual Testing,288.31
242,13,Functional,2/8/24,Component,Critical,Automated Testing,663.49
243,5,Functional,6/18/24,Internal,Moderate,Manual Testing,711.77
244,67,Structural,6/4/24,Surface,Moderate,Visual Inspection,822.12
245,35,Cosmetic,5/27/24,Component,Critical,Visual Inspection,889.52
246,81,Structural,3/30/24,Surface,Minor,Automated Testing,471.55
247,24,Cosmetic,4/22/24,Internal,Critical,Automated Testing,136.69
248,65,Structural,3/27/24,Component,Minor,Automated Testing,148.61
249,13,Structural,5/16/24,Surface,Moderate,Manual Testing,768.39
250,65,Cosmetic,6/7/24,Component,Moderate,Manual Testing,545.52
251,33,Structural,1/29/24,Component,Moderate,Automated Testing,978.58
252,92,Cosmetic,5/16/24,Internal,Critical,Visual Inspection,62.59
253,25,Functional,5/1/24,Component,Minor,Automated Testing,146.53
254,33,Functional,5/2/24,Surface,Minor,Automated Testing,168.3
255,63,Cosmetic,1/2/24,Internal,Critical,Manual Testing,225.2
256,23,Structural,6/18/24,Surface,Minor,Manual Testing,875.37
257,47,Structural,6/3/24,Surface,Minor,Manual Testing,772.77
258,78,Structural,5/7/24,Component,Minor,Automated Testing,617.12
259,74,Functional,3/20/24,Surface,Moderate,Manual Testing,900.61
260,70,Structural,3/3/24,Surface,Minor,Manual Testing,159.25
261,59,Functional,3/2/24,Internal,Minor,Manual Testing,16.62
262,77,Functional,2/25/24,Surface,Minor,Automated Testing,906.96
263,96,Functional,5/3/24,Internal,Minor,Manual Testing,446.61
264,39,Structural,1/29/24,Surface,Minor,Manual Testing,406.06
265,54,Structural,6/8/24,Component,Minor,Automated Testing,286.25
266,74,Structural,6/22/24,Surface,Critical,Manual Testing,319.6
267,57,Functional,6/4/24,Surface,Moderate,Manual Testing,798.16
268,48,Functional,1/5/24,Component,Critical,Manual Testing,674.23
269,99,Cosmetic,3/9/24,Component,Minor,Manual Testing,940.48
270,71,Functional,4/5/24,Internal,Critical,Visual Inspection,42.63
271,37,Cosmetic,6/26/24,Surface,Critical,Automated Testing,433.02
272,65,Structural,4/9/24,Internal,Minor,Manual Testing,606.91
273,94,Structural,6/15/24,Surface,Moderate,Automated Testing,129.41
274,83,Cosmetic,2/5/24,Surface,Critical,Manual Testing,444.1
275,71,Functional,5/29/24,Surface,Moderate,Manual Testing,634.26
276,46,Cosmetic,1/13/24,Surface,Moderate,Manual Testing,672.89
277,56,Functional,5/22/24,Internal,Minor,Visual Inspection,557.67
278,34,Functional,6/22/24,Internal,Minor,Manual Testing,272.53
279,19,Structural,2/17/24,Internal,Minor,Visual Inspection,503.24
280,27,Functional,4/23/24,Surface,Critical,Visual Inspection,611.37
281,69,Cosmetic,1/24/24,Surface,Minor,Visual Inspection,501.54
282,90,Structural,5/20/24,Surface,Minor,Manual Testing,290.23
283,63,Cosmetic,1/30/24,Internal,Moderate,Manual Testing,195.84
284,86,Structural,4/9/24,Internal,Moderate,Visual Inspection,88.05
285,82,Structural,5/17/24,Surface,Critical,Manual Testing,97.99
286,65,Structural,6/19/24,Internal,Critical,Visual Inspection,349.24
287,14,Structural,1/31/24,Internal,Critical,Manual Testing,421.51
288,48,Structural,5/26/24,Internal,Critical,Manual Testing,422.77
289,61,Structural,2/7/24,Internal,Minor,Automated Testing,925.03
290,35,Structural,2/27/24,Internal,Minor,Automated Testing,319.58
291,67,Functional,4/22/24,Surface,Moderate,Automated Testing,556.42
292,16,Structural,2/4/24,Surface,Minor,Automated Testing,818.54
293,44,Structural,1/2/24,Internal,Moderate,Automated Testing,320.62
294,80,Cosmetic,3/31/24,Internal,Moderate,Manual Testing,178.82
295,83,Structural,2/29/24,Surface,Critical,Manual Testing,237.65
296,93,Structural,3/14/24,Component,Moderate,Manual Testing,658.16
297,43,Structural,1/23/24,Surface,Minor,Visual Inspection,326.58
298,87,Cosmetic,2/14/24,Surface,Minor,Manual Testing,301.61
299,56,Cosmetic,5/26/24,Surface,Minor,Visual Inspection,357.56
300,3,Functional,4/26/24,Internal,Critical,Manual Testing,358.21
301,22,Structural,5/3/24,Surface,Moderate,Manual Testing,89.91
302,85,Cosmetic,5/6/24,Internal,Minor,Automated Testing,18.42
303,80,Functional,4/25/24,Component,Moderate,Visual Inspection,294.31
304,17,Functional,4/24/24,Internal,Minor,Visual Inspection,865.96
305,35,Cosmetic,6/12/24,Component,Minor,Visual Inspection,578.28
306,39,Structural,2/13/24,Surface,Critical,Visual Inspection,495.87
307,30,Functional,6/19/24,Component,Minor,Visual Inspection,728.39
308,47,Cosmetic,1/8/24,Component,Minor,Manual Testing,949.72
309,24,Structural,3/23/24,Component,Moderate,Manual Testing,56.12
310,76,Structural,5/26/24,Component,Moderate,Automated Testing,56.35
311,38,Structural,4/8/24,Internal,Minor,Manual Testing,651.35
312,47,Cosmetic,2/23/24,Component,Minor,Manual Testing,471.27
313,82,Cosmetic,5/29/24,Surface,Moderate,Visual Inspection,732.6
314,36,Cosmetic,2/19/24,Component,Minor,Automated Testing,865.3
315,40,Functional,1/15/24,Internal,Minor,Automated Testing,49.2
316,28,Cosmetic,6/9/24,Surface,Critical,Manual Testing,567.72
317,31,Cosmetic,1/9/24,Surface,Moderate,Visual Inspection,490.53
318,34,Functional,3/3/24,Component,Minor,Manual Testing,11.38
319,56,Functional,2/23/24,Component,Moderate,Visual Inspection,409.72
320,45,Functional,1/5/24,Component,Minor,Visual Inspection,515.07
321,32,Structural,6/6/24,Component,Moderate,Visual Inspection,42.44
322,54,Functional,5/30/24,Internal,Critical,Automated Testing,883.58
323,44,Structural,6/8/24,Internal,Minor,Automated Testing,624.98
324,97,Functional,4/6/24,Component,Minor,Manual Testing,195.74
325,15,Functional,4/15/24,Internal,Moderate,Manual Testing,241.22
326,97,Cosmetic,4/29/24,Component,Minor,Manual Testing,441.18
327,17,Structural,4/1/24,Component,Critical,Manual Testing,274.09
328,91,Functional,6/8/24,Surface,Moderate,Visual Inspection,268.52
329,92,Structural,1/2/24,Component,Critical,Automated Testing,170.44
330,72,Functional,3/1/24,Component,Moderate,Automated Testing,386.43
331,74,Functional,3/1/24,Surface,Minor,Manual Testing,970.98
332,7,Functional,5/16/24,Component,Minor,Automated Testing,751.73
333,24,Functional,4/22/24,Component,Minor,Automated Testing,285.85
334,10,Structural,3/15/24,Internal,Critical,Manual Testing,478.75
335,26,Cosmetic,2/29/24,Surface,Minor,Automated Testing,884.79
336,92,Cosmetic,4/13/24,Surface,Moderate,Automated Testing,44.73
337,68,Cosmetic,5/24/24,Component,Minor,Automated Testing,952.79
338,31,Cosmetic,1/3/24,Component,Moderate,Manual Testing,959.59
339,41,Structural,2/15/24,Component,Moderate,Visual Inspection,312.25
340,95,Cosmetic,6/23/24,Component,Minor,Visual Inspection,658.47
341,17,Functional,5/3/24,Surface,Minor,Manual Testing,243.25
342,4,Cosmetic,5/24/24,Internal,Moderate,Automated Testing,199.65
343,96,Functional,1/30/24,Component,Minor,Visual Inspection,471.43
344,81,Functional,2/6/24,Component,Moderate,Visual Inspection,756.85
345,61,Structural,5/31/24,Internal,Critical,Visual Inspection,369.06
346,97,Cosmetic,6/14/24,Surface,Minor,Manual Testing,326.19
347,90,Functional,5/19/24,Component,Minor,Visual Inspection,22.07
348,29,Cosmetic,4/18/24,Component,Critical,Visual Inspection,825.33
349,45,Cosmetic,1/20/24,Surface,Minor,Automated Testing,697.77
350,33,Structural,5/18/24,Component,Moderate,Visual Inspection,417.1
351,44,Cosmetic,6/7/24,Surface,Minor,Visual Inspection,74.81
352,30,Functional,2/24/24,Surface,Minor,Visual Inspection,104.54
353,29,Functional,6/14/24,Component,Critical,Manual Testing,480.07
354,26,Structural,3/13/24,Surface,Minor,Manual Testing,842.37
355,18,Cosmetic,3/12/24,Internal,Critical,Manual Testing,422.03
356,9,Functional,2/3/24,Internal,Critical,Visual Inspection,161.41
357,50,Cosmetic,2/8/24,Component,Critical,Visual Inspection,361.26
358,71,Cosmetic,5/17/24,Surface,Critical,Automated Testing,999.25
359,27,Functional,2/17/24,Internal,Critical,Automated Testing,495.53
360,82,Functional,6/2/24,Internal,Moderate,Visual Inspection,40.89
361,19,Functional,6/7/24,Component,Moderate,Manual Testing,444.31
362,45,Structural,6/20/24,Surface,Minor,Manual Testing,739.69
363,12,Structural,6/20/24,Internal,Minor,Visual Inspection,577.64
364,54,Functional,3/21/24,Component,Minor,Visual Inspection,230.65
365,40,Structural,4/10/24,Component,Minor,Manual Testing,692.1
366,95,Functional,4/4/24,Internal,Critical,Visual Inspection,378.29
367,21,Functional,1/23/24,Internal,Moderate,Visual Inspection,584.9
368,35,Functional,3/1/24,Internal,Moderate,Visual Inspection,39.01
369,47,Functional,1/26/24,Internal,Critical,Visual Inspection,899.07
370,93,Structural,1/27/24,Internal,Minor,Visual Inspection,96.04
371,74,Structural,1/2/24,Internal,Moderate,Visual Inspection,269.99
372,76,Cosmetic,5/14/24,Surface,Minor,Visual Inspection,996.49
373,92,Functional,1/11/24,Surface,Moderate,Manual Testing,573.22
374,5,Structural,6/13/24,Internal,Moderate,Visual Inspection,694.03
375,48,Functional,5/10/24,Internal,Minor,Visual Inspection,963.03
376,54,Functional,1/10/24,Component,Moderate,Manual Testing,118.46
377,97,Structural,1/16/24,Component,Moderate,Automated Testing,773.47
378,41,Structural,6/12/24,Surface,Minor,Visual Inspection,180.86
379,34,Cosmetic,4/5/24,Surface,Minor,Manual Testing,18.61
380,25,Cosmetic,4/10/24,Component,Critical,Manual Testing,176.96
381,27,Cosmetic,1/7/24,Surface,Moderate,Visual Inspection,32.44
382,74,Cosmetic,2/12/24,Component,Minor,Manual Testing,351.27
383,51,Functional,1/5/24,Component,Critical,Visual Inspection,303.16
384,98,Cosmetic,5/5/24,Internal,Critical,Automated Testing,404.15
385,83,Structural,1/10/24,Internal,Moderate,Automated Testing,800.76
386,60,Structural,1/29/24,Surface,Moderate,Visual Inspection,321.45
387,84,Functional,2/14/24,Surface,Critical,Manual Testing,510.38
388,32,Structural,2/17/24,Internal,Minor,Automated Testing,883.92
389,49,Structural,4/16/24,Internal,Minor,Automated Testing,918.87
390,1,Structural,5/19/24,Surface,Critical,Automated Testing,564.46
391,7,Functional,6/3/24,Internal,Minor,Visual Inspection,889.4
392,81,Functional,2/25/24,Component,Critical,Automated Testing,197.87
393,24,Cosmetic,6/9/24,Surface,Critical,Visual Inspection,786.6
394,37,Functional,5/4/24,Internal,Moderate,Manual Testing,740.36
395,81,Functional,3/5/24,Surface,Critical,Automated Testing,667.24
396,84,Cosmetic,1/9/24,Surface,Critical,Visual Inspection,77.72
397,79,Functional,4/16/24,Surface,Moderate,Visual Inspection,106.59
398,3,Structural,2/20/24,Surface,Minor,Manual Testing,529.16
399,50,Functional,4/7/24,Surface,Critical,Manual Testing,94.34
400,44,Cosmetic,4/12/24,Component,Moderate,Manual Testing,97.53
401,34,Functional,4/19/24,Internal,Critical,Automated Testing,500.88
402,41,Functional,2/23/24,Internal,Minor,Manual Testing,477.42
403,6,Cosmetic,5/9/24,Surface,Minor,Manual Testing,810.57
404,47,Structural,5/1/24,Surface,Minor,Automated Testing,945.16
405,4,Functional,3/24/24,Internal,Minor,Visual Inspection,325.31
406,39,Functional,4/11/24,Component,Moderate,Visual Inspection,810.44
407,10,Functional,5/30/24,Internal,Critical,Visual Inspection,623.76
