card,rarity,price,daily_change,daily_chg_pct,weekly_chg,weekly_chg_pct
Starfall Invocation,Rare,$ 1.06,$ -0.03,-3%,$ 0.01,1%
For the Common Good,Rare,$ 1.05,$ -0.02,-2%,$ 0.04,4%
Essence Channeler,Rare,$ 1.03,$ 0.01,1%,$ 0.09,10%
"Baylen, the Haymaker",Rare,$ 1.00,$ 0.00,0%,$ 0.03,3%
Cruelclaw's Heist,Rare,$ 0.93,$ 0.00,0%,$ 0.19,26%
Hired Claw,Rare,$ 0.89,$ 0.06,7%,$ 0.20,29%
Thornvault Forager,Rare,$ 0.87,$ 0.00,0%,$ -0.03,-3%
"Vren, the Relentless",Rare,$ 0.83,$ 0.05,6%,$ 0.05,6%
Darkstar Augur,Rare,$ 0.75,$ 0.00,0%,$ 0.01,1%
Plains265,Common,$ 0.71,$ -0.01,-1%,$ 0.01,1%
Swamp273,Common,$ 0.70,$ 0.00,0%,$ -0.01,-1%
Lunar Convocation,Rare,$ 0.70,$ 0.00,0%,$ -0.01,-1%
Pawpatch Recruit,Rare,$ 0.69,$ 0.00,0%,$ -0.01,-1%
Mountain277,Common,$ 0.62,$ 0.00,0%,$ -0.02,-3%
Forest281,Common,$ 0.61,$ 0.00,0%,$ 0.03,5%
Osteomancer Adept,Rare,$ 0.58,$ 0.00,0%,$ 0.00,0%
Island269,Common,$ 0.55,$ 0.01,2%,$ -0.04,-7%
Tender Wildguide,Rare,$ 0.52,$ -0.01,-2%,$ -0.01,-2%
Keen-Eyed Curator,Rare,$ 0.50,$ 0.00,0%,$ 0.00,0%
Coruscation Mage,Uncommon,$ 0.49,$ 0.00,0%,$ 0.01,2%
Scrapshooter,Rare,$ 0.49,$ 0.00,0%,$ 0.00,0%
Mistbreath Elder,Rare,$ 0.45,$ 0.00,0%,$ 0.00,0%
Azure Beastbinder,Rare,$ 0.45,$ 0.00,0%,$ -0.01,-2%
Jackdaw Savior,Rare,$ 0.44,$ 0.00,0%,$ 0.02,5%
Coiling Rebirth,Rare,$ 0.44,$ 0.00,0%,$ -0.02,-4%
Parting Gust,Uncommon,$ 0.43,$ 0.00,0%,$ 0.02,5%
"Mabel, Heir to Cragflame",Rare,$ 0.40,$ 0.00,0%,$ -0.03,-7%
Overprotect,Uncommon,$ 0.40,$ 0.00,0%,$ 0.01,3%
Starscape Cleric,Uncommon,$ 0.39,$ 0.00,0%,$ 0.00,0%
Fecund Greenshell,Rare,$ 0.37,$ -0.01,-3%,$ -0.02,-5%
Valley Flamecaller,Rare,$ 0.35,$ 0.00,0%,$ -0.01,-3%
Salvation Swan,Rare,$ 0.33,$ -0.01,-3%,$ -0.01,-3%
"Muerra, Trash Tactician",Rare,$ 0.33,$ 0.00,0%,$ -0.01,-3%
Plains263,Common,$ 0.32,$ 0.00,0%,$ -0.01,-3%
Portent of Calamity,Rare,$ 0.32,$ 0.00,0%,$ 0.00,0%
Rockface Village,Uncommon,$ 0.31,$ 0.00,0%,$ 0.01,3%
Dreamdew Entrancer,Rare,$ 0.31,$ 0.00,0%,$ -0.01,-3%
"Clement, the Worrywort",Rare,$ 0.31,$ 0.00,0%,$ -0.01,-3%
Mountain276,Common,$ 0.30,$ 0.00,0%,$ 0.00,0%
"Finneas, Ace Archer",Rare,$ 0.30,$ 0.00,0%,$ 0.00,0%
Forest278,Common,$ 0.30,$ 0.00,0%,$ 0.00,0%
"Wick, the Whorled Mind",Rare,$ 0.30,$ 0.00,0%,$ 0.00,0%
Pawpatch Formation,Uncommon,$ 0.30,$ 0.00,0%,$ 0.00,0%
Whiskervale Forerunner,Rare,$ 0.30,$ 0.00,0%,$ -0.02,-6%
Hearthborn Battler,Rare,$ 0.30,$ 0.00,0%,$ 0.00,0%
Oakhollow Village,Uncommon,$ 0.28,$ 0.01,4%,$ 0.01,4%
"Kastral, the Windcrested",Rare,$ 0.28,$ 0.00,0%,$ 0.01,4%
Island268,Common,$ 0.28,$ 0.00,0%,$ 0.00,0%
Bandit's Talent,Uncommon,$ 0.27,$ 0.00,0%,$ 0.00,0%
Festival of Embers,Rare,$ 0.27,$ 0.01,4%,$ 0.01,4%
Mudflat Village,Uncommon,$ 0.26,$ 0.00,0%,$ 0.01,4%
Forest280,Common,$ 0.26,$ -0.01,-4%,$ 0.00,0%
Mountain275,Common,$ 0.25,$ 0.00,0%,$ -0.01,-4%
"Alania, Divergent Storm",Rare,$ 0.25,$ 0.00,0%,$ 0.00,0%
Kitnap,Rare,$ 0.25,$ 0.00,0%,$ 0.00,0%
Hunter's Talent,Uncommon,$ 0.25,$ 0.00,0%,$ 0.00,0%
Forest279,Common,$ 0.25,$ 0.00,0%,$ 0.00,0%
Island266,Common,$ 0.25,$ 0.00,0%,$ 0.00,0%
Island267,Common,$ 0.25,$ 0.00,0%,$ 0.00,0%
Plains264,Common,$ 0.25,$ 0.00,0%,$ 0.00,0%
Swamp272,Common,$ 0.25,$ 0.00,0%,$ 0.00,0%
Swamp270,Common,$ 0.25,$ 0.01,4%,$ 0.01,4%
Swamp271,Common,$ 0.25,$ 0.00,0%,$ 0.00,0%
Byway Barterer,Rare,$ 0.25,$ 0.00,0%,$ 0.00,0%
Splash Portal,Uncommon,$ 0.25,$ 0.00,0%,$ 0.00,0%
Clifftop Lookout,Uncommon,$ 0.25,$ 0.00,0%,$ 0.00,0%
Vinereap Mentor,Uncommon,$ 0.25,$ 0.01,4%,$ 0.00,0%
Wishing Well,Rare,$ 0.25,$ 0.00,0%,$ 0.00,0%
Long River's Pull,Uncommon,$ 0.25,$ 0.00,0%,$ 0.00,0%
Feed the Cycle,Uncommon,$ 0.25,$ 0.00,0%,$ 0.00,0%
Mountain274,Common,$ 0.24,$ 0.00,0%,$ 0.00,0%
Lilypad Village,Uncommon,$ 0.24,$ 0.00,0%,$ 0.00,0%
Blacksmith's Talent,Uncommon,$ 0.24,$ 0.01,4%,$ 0.00,0%
Stocking the Pantry,Uncommon,$ 0.24,$ 0.00,0%,$ 0.01,4%
Dewdrop Cure,Uncommon,$ 0.23,$ 0.00,0%,$ -0.01,-4%
Plains262,Common,$ 0.22,$ 0.00,0%,$ 0.00,0%
Thought-Stalker Warlock,Uncommon,$ 0.22,$ 0.00,0%,$ 0.00,0%
Lupinflower Village,Uncommon,$ 0.21,$ 0.00,0%,$ 0.01,5%
Fireglass Mentor,Uncommon,$ 0.21,$ 0.00,0%,$ -0.02,-9%
Gossip's Talent,Uncommon,$ 0.21,$ 0.01,5%,$ -0.01,-5%
Short Bow,Uncommon,$ 0.21,$ -0.01,-5%,$ -0.01,-5%
Might of the Meek,Common,$ 0.20,$ 0.00,0%,$ -0.01,-5%
Flowerfoot Swordmaster,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Seedglaive Mentor,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Lilysplash Mentor,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Shrike Force,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Feather of Flight,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Bonecache Overseer,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Burrowguard Mentor,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Stargaze,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Huskburster Swarm,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Long River Lurker,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Persistent Marshstalker,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Peerless Recycling,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Three Tree Scribe,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Sinister Monolith,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Seasoned Warrenguard,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Otterball Antics,Uncommon,$ 0.20,$ 0.01,5%,$ 0.00,0%
Honored Dreyleader,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Builder's Talent,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Eddymurk Crab,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Flamecache Gecko,Uncommon,$ 0.20,$ 0.00,0%,$ 0.00,0%
Spellgyre,Uncommon,$ 0.20,$ 0.01,5%,$ 0.00,0%
Starseer Mentor,Uncommon,$ 0.19,$ 0.01,6%,$ 0.00,0%
Wandertale Mentor,Uncommon,$ 0.19,$ 0.00,0%,$ 0.00,0%
Consumed by Greed,Uncommon,$ 0.19,$ 0.01,6%,$ 0.00,0%
Brightblade Stoat,Uncommon,$ 0.19,$ 0.00,0%,$ 0.00,0%
Harnesser of Storms,Uncommon,$ 0.19,$ 0.00,0%,$ 0.00,0%
Curious Forager,Uncommon,$ 0.19,$ 0.01,6%,$ 0.00,0%
Bushy Bodyguard,Uncommon,$ 0.19,$ 0.00,0%,$ 0.00,0%
Hazel's Nocturne,Uncommon,$ 0.19,$ 0.00,0%,$ 0.00,0%
Plumecreed Escort,Uncommon,$ 0.18,$ 0.02,13%,$ -0.01,-5%
Daring Waverider,Uncommon,$ 0.18,$ 0.01,6%,$ 0.01,6%
Playful Shove,Uncommon,$ 0.18,$ 0.01,6%,$ 0.00,0%
Rabid Gnaw,Uncommon,$ 0.18,$ 0.00,0%,$ 0.00,0%
Ruthless Negotiation,Uncommon,$ 0.17,$ 0.01,6%,$ 0.00,0%
Heirloom Epic,Uncommon,$ 0.17,$ 0.00,0%,$ 0.01,6%
Mindwhisker,Uncommon,$ 0.17,$ 0.01,6%,$ 0.01,6%
Heaped Harvest,Common,$ 0.17,$ 0.01,6%,$ 0.01,6%
Galewind Moose,Uncommon,$ 0.16,$ 0.00,0%,$ -0.01,-6%
Sunshower Druid,Common,$ 0.15,$ 0.00,0%,$ 0.00,0%
Carrot Cake,Common,$ 0.15,$ 0.00,0%,$ 0.00,0%
Plumecreed Mentor,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Tidecaller Mentor,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Cache Grab,Common,$ 0.15,$ 0.00,0%,$ 0.00,0%
Pond Prophet,Common,$ 0.15,$ 0.00,0%,$ 0.00,0%
Repel Calamity,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Mabel's Mettle,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Quaketusk Boar,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Brambleguard Captain,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Sugar Coat,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Valley Rally,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Brazen Collector,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Brambleguard Veteran,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Splash Lasher,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Lifecreed Duo,Common,$ 0.15,$ 0.00,0%,$ 0.00,0%
Diresight,Common,$ 0.15,$ 0.00,0%,$ 0.00,0%
Barkform Harvester,Common,$ 0.15,$ 0.00,0%,$ 0.00,0%
Downwind Ambusher,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Star Charter,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Driftgloom Coyote,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Bark-Knuckle Boxer,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Moonstone Harbinger,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Wick's Patrol,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Hivespine Wolverine,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Hidden Grotto,Common,$ 0.15,$ 0.00,0%,$ 0.00,0%
Mouse Trapper,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Knightfisher,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Harvestrite Host,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Hazardroot Herbalist,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Reptilian Recruiter,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Uncharted Haven,Common,$ 0.15,$ 0.00,0%,$ 0.00,0%
Calamitous Tide,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Hoarder's Overflow,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Three Tree Mascot,Common,$ 0.15,$ 0.00,0%,$ 0.00,0%
Starforged Sword,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Blooming Blast,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Teapot Slinger,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Tangle Tumbler,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Wildfire Howl,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Jolly Gerbils,Uncommon,$ 0.15,$ 0.00,0%,$ 0.00,0%
Shore Up,Common,$ 0.15,$ 0.00,0%,$ 0.00,0%
Pearl of Wisdom,Common,$ 0.14,$ 0.00,0%,$ 0.01,8%
Run Away Together,Common,$ 0.14,$ 0.00,0%,$ -0.01,-7%
Thistledown Players,Common,$ 0.13,$ 0.00,0%,$ 0.00,0%
Polliwallop,Common,$ 0.13,$ 0.00,0%,$ 0.00,0%
Banishing Light,Common,$ 0.13,$ 0.00,0%,$ 0.00,0%
Bakersbane Duo,Common,$ 0.13,$ 0.00,0%,$ 0.01,8%
Dazzling Denial,Common,$ 0.13,$ 0.00,0%,$ -0.01,-7%
Sazacap's Brew,Common,$ 0.13,$ 0.00,0%,$ 0.00,0%
Tempest Angler,Common,$ 0.12,$ 0.00,0%,$ 0.00,0%
Scales of Shale,Common,$ 0.12,$ 0.00,0%,$ 0.01,9%
Kindlespark Duo,Common,$ 0.12,$ -0.01,-8%,$ 0.00,0%
Fountainport Bell,Common,$ 0.12,$ 0.00,0%,$ -0.01,-8%
Crumb and Get It,Common,$ 0.12,$ 0.00,0%,$ 0.00,0%
Bonebind Orator,Common,$ 0.12,$ 0.00,0%,$ 0.00,0%
Savor,Common,$ 0.12,$ 0.00,0%,$ 0.00,0%
Moonrise Cleric,Common,$ 0.11,$ 0.00,0%,$ 0.00,0%
Head of the Homestead,Common,$ 0.11,$ 0.00,0%,$ 0.00,0%
Steampath Charger,Common,$ 0.11,$ 0.00,0%,$ 0.01,10%
Longstalk Brawl,Common,$ 0.11,$ 0.00,0%,$ 0.00,0%
Nettle Guard,Common,$ 0.11,$ 0.00,0%,$ 0.00,0%
Thornplate Intimidator,Common,$ 0.11,$ 0.00,0%,$ 0.00,0%
Bellowing Crier,Common,$ 0.11,$ 0.00,0%,$ 0.01,10%
Treeguard Duo,Common,$ 0.11,$ 0.00,0%,$ 0.01,10%
Sonar Strike,Common,$ 0.11,$ 0.00,0%,$ -0.01,-9%
Agate-Blade Assassin,Common,$ 0.11,$ 0.00,0%,$ 0.00,0%
Intrepid Rabbit,Common,$ 0.11,$ 0.00,0%,$ 0.00,0%
Three Tree Rootweaver,Common,$ 0.11,$ 0.00,0%,$ -0.01,-8%
Early Winter,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Corpseberry Cultivator,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Cindering Cutthroat,Common,$ 0.10,$ 0.00,0%,$ -0.01,-9%
Mind Drill Assailant,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Seedpod Squire,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Junkblade Bruiser,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Veteran Guardmouse,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Brave-Kin Duo,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Finch Formation,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Thought Shucker,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Conduct Electricity,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Treetop Sentries,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Wax-Wane Witness,Common,$ 0.10,$ -0.01,-9%,$ 0.00,0%
Lightshell Duo,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Waterspout Warden,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Starlit Soothsayer,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Frilled Sparkshooter,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Take Out the Trash,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Bumbleflower's Sharepot,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Pileated Provisioner,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Warren Elder,Common,$ 0.10,$ -0.01,-9%,$ 0.00,0%
Mind Spiral,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Glidedive Duo,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
War Squeak,Common,$ 0.10,$ 0.00,0%,$ -0.01,-9%
Rust-Shield Rampager,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Rabbit Response,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Nightwhorl Hermit,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Nocturnal Hunger,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Agate Assault,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Whiskerquill Scribe,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Stickytongue Sentinel,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Alania's Pathmaker,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Druid of the Spade,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Psychic Whorl,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Raccoon Rallier,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Dire Downdraft,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Skyskipper Duo,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Daggerfang Duo,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Ravine Raider,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
Roughshod Duo,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
High Stride,Common,$ 0.10,$ 0.00,0%,$ 0.00,0%
